Mod:Item:MetaData, Localized Name
gregtech:gt.blockores:4069, Samarium Ore
gregtech:gt.blockores:5069, Samarium Ore
gregtech:gt.blockores:6069, Samarium Ore
gregtech:gt.blockores:16069, Small Samarium Ore
gregtech:gt.blockores:17069, Small Samarium Ore
gregtech:gt.blockores:18069, Small Samarium Ore
gregtech:gt.blockores:19069, Small Samarium Ore
gregtech:gt.blockores:20069, Small Samarium Ore
gregtech:gt.blockores:21069, Small Samarium Ore
gregtech:gt.blockores:22069, Small Samarium Ore
gregtech:gt.blockores:70, Europium Ore
gregtech:gt.blockores:1070, Europium Ore
gregtech:gt.blockores:2070, Europium Ore
gregtech:gt.blockores:3070, Europium Ore
gregtech:gt.blockores:4070, Europium Ore
gregtech:gt.blockores:5070, Europium Ore
gregtech:gt.blockores:6070, Europium Ore
gregtech:gt.blockores:16070, Small Europium Ore
gregtech:gt.blockores:17070, Small Europium Ore
gregtech:gt.blockores:18070, Small Europium Ore
gregtech:gt.blockores:19070, Small Europium Ore
gregtech:gt.blockores:20070, Small Europium Ore
gregtech:gt.blockores:21070, Small Europium Ore
gregtech:gt.blockores:22070, Small Europium Ore
gregtech:gt.blockores:71, Gadolinium Ore
gregtech:gt.blockores:1071, Gadolinium Ore
gregtech:gt.blockores:2071, Gadolinium Ore
gregtech:gt.blockores:3071, Gadolinium Ore
gregtech:gt.blockores:4071, Gadolinium Ore
gregtech:gt.blockores:5071, Gadolinium Ore
gregtech:gt.blockores:6071, Gadolinium Ore
gregtech:gt.blockores:16071, Small Gadolinium Ore
gregtech:gt.blockores:17071, Small Gadolinium Ore
gregtech:gt.blockores:18071, Small Gadolinium Ore
gregtech:gt.blockores:19071, Small Gadolinium Ore
gregtech:gt.blockores:20071, Small Gadolinium Ore
gregtech:gt.blockores:21071, Small Gadolinium Ore
gregtech:gt.blockores:22071, Small Gadolinium Ore
gregtech:gt.blockores:72, Terbium Ore
gregtech:gt.blockores:1072, Terbium Ore
gregtech:gt.blockores:2072, Terbium Ore
gregtech:gt.blockores:3072, Terbium Ore
gregtech:gt.blockores:4072, Terbium Ore
gregtech:gt.blockores:5072, Terbium Ore
gregtech:gt.blockores:6072, Terbium Ore
gregtech:gt.blockores:16072, Small Terbium Ore
gregtech:gt.blockores:17072, Small Terbium Ore
gregtech:gt.blockores:18072, Small Terbium Ore
gregtech:gt.blockores:19072, Small Terbium Ore
gregtech:gt.blockores:20072, Small Terbium Ore
gregtech:gt.blockores:21072, Small Terbium Ore
gregtech:gt.blockores:22072, Small Terbium Ore
gregtech:gt.blockores:73, Dysprosium Ore
gregtech:gt.blockores:1073, Dysprosium Ore
gregtech:gt.blockores:2073, Dysprosium Ore
gregtech:gt.blockores:3073, Dysprosium Ore
gregtech:gt.blockores:4073, Dysprosium Ore
gregtech:gt.blockores:5073, Dysprosium Ore
gregtech:gt.blockores:6073, Dysprosium Ore
gregtech:gt.blockores:16073, Small Dysprosium Ore
gregtech:gt.blockores:17073, Small Dysprosium Ore
gregtech:gt.blockores:18073, Small Dysprosium Ore
gregtech:gt.blockores:19073, Small Dysprosium Ore
gregtech:gt.blockores:20073, Small Dysprosium Ore
gregtech:gt.blockores:21073, Small Dysprosium Ore
gregtech:gt.blockores:22073, Small Dysprosium Ore
gregtech:gt.blockores:74, Holmium Ore
gregtech:gt.blockores:1074, Holmium Ore
gregtech:gt.blockores:2074, Holmium Ore
gregtech:gt.blockores:3074, Holmium Ore
gregtech:gt.blockores:4074, Holmium Ore
gregtech:gt.blockores:5074, Holmium Ore
gregtech:gt.blockores:6074, Holmium Ore
gregtech:gt.blockores:16074, Small Holmium Ore
gregtech:gt.blockores:17074, Small Holmium Ore
gregtech:gt.blockores:18074, Small Holmium Ore
gregtech:gt.blockores:19074, Small Holmium Ore
gregtech:gt.blockores:20074, Small Holmium Ore
gregtech:gt.blockores:21074, Small Holmium Ore
gregtech:gt.blockores:22074, Small Holmium Ore
gregtech:gt.blockores:75, Erbium Ore
gregtech:gt.blockores:1075, Erbium Ore
gregtech:gt.blockores:2075, Erbium Ore
gregtech:gt.blockores:3075, Erbium Ore
gregtech:gt.blockores:4075, Erbium Ore
gregtech:gt.blockores:5075, Erbium Ore
gregtech:gt.blockores:6075, Erbium Ore
gregtech:gt.blockores:16075, Small Erbium Ore
gregtech:gt.blockores:17075, Small Erbium Ore
gregtech:gt.blockores:18075, Small Erbium Ore
gregtech:gt.blockores:19075, Small Erbium Ore
gregtech:gt.blockores:20075, Small Erbium Ore
gregtech:gt.blockores:21075, Small Erbium Ore
gregtech:gt.blockores:22075, Small Erbium Ore
gregtech:gt.blockores:76, Thulium Ore
gregtech:gt.blockores:1076, Thulium Ore
gregtech:gt.blockores:2076, Thulium Ore
gregtech:gt.blockores:3076, Thulium Ore
gregtech:gt.blockores:4076, Thulium Ore
gregtech:gt.blockores:5076, Thulium Ore
gregtech:gt.blockores:6076, Thulium Ore
gregtech:gt.blockores:16076, Small Thulium Ore
gregtech:gt.blockores:17076, Small Thulium Ore
gregtech:gt.blockores:18076, Small Thulium Ore
gregtech:gt.blockores:19076, Small Thulium Ore
gregtech:gt.blockores:20076, Small Thulium Ore
gregtech:gt.blockores:21076, Small Thulium Ore
gregtech:gt.blockores:22076, Small Thulium Ore
gregtech:gt.blockores:77, Ytterbium Ore
gregtech:gt.blockores:1077, Ytterbium Ore
gregtech:gt.blockores:2077, Ytterbium Ore
gregtech:gt.blockores:3077, Ytterbium Ore
gregtech:gt.blockores:4077, Ytterbium Ore
gregtech:gt.blockores:5077, Ytterbium Ore
gregtech:gt.blockores:6077, Ytterbium Ore
gregtech:gt.blockores:16077, Small Ytterbium Ore
gregtech:gt.blockores:17077, Small Ytterbium Ore
gregtech:gt.blockores:18077, Small Ytterbium Ore
gregtech:gt.blockores:19077, Small Ytterbium Ore
gregtech:gt.blockores:20077, Small Ytterbium Ore
gregtech:gt.blockores:21077, Small Ytterbium Ore
gregtech:gt.blockores:22077, Small Ytterbium Ore
gregtech:gt.blockores:78, Lutetium Ore
gregtech:gt.blockores:1078, Lutetium Ore
gregtech:gt.blockores:2078, Lutetium Ore
gregtech:gt.blockores:3078, Lutetium Ore
gregtech:gt.blockores:4078, Lutetium Ore
gregtech:gt.blockores:5078, Lutetium Ore
gregtech:gt.blockores:6078, Lutetium Ore
gregtech:gt.blockores:16078, Small Lutetium Ore
gregtech:gt.blockores:17078, Small Lutetium Ore
gregtech:gt.blockores:18078, Small Lutetium Ore
gregtech:gt.blockores:19078, Small Lutetium Ore
gregtech:gt.blockores:20078, Small Lutetium Ore
gregtech:gt.blockores:21078, Small Lutetium Ore
gregtech:gt.blockores:22078, Small Lutetium Ore
gregtech:gt.blockores:80, Tantalum Ore
gregtech:gt.blockores:1080, Tantalum Ore
gregtech:gt.blockores:2080, Tantalum Ore
gregtech:gt.blockores:3080, Tantalum Ore
gregtech:gt.blockores:4080, Tantalum Ore
gregtech:gt.blockores:5080, Tantalum Ore
gregtech:gt.blockores:6080, Tantalum Ore
gregtech:gt.blockores:16080, Small Tantalum Ore
gregtech:gt.blockores:17080, Small Tantalum Ore
gregtech:gt.blockores:18080, Small Tantalum Ore
gregtech:gt.blockores:19080, Small Tantalum Ore
gregtech:gt.blockores:20080, Small Tantalum Ore
gregtech:gt.blockores:21080, Small Tantalum Ore
gregtech:gt.blockores:22080, Small Tantalum Ore
gregtech:gt.blockores:81, Tungsten Ore
gregtech:gt.blockores:1081, Tungsten Ore
gregtech:gt.blockores:2081, Tungsten Ore
gregtech:gt.blockores:3081, Tungsten Ore
gregtech:gt.blockores:4081, Tungsten Ore
gregtech:gt.blockores:5081, Tungsten Ore
gregtech:gt.blockores:6081, Tungsten Ore
gregtech:gt.blockores:16081, Small Tungsten Ore
gregtech:gt.blockores:17081, Small Tungsten Ore
gregtech:gt.blockores:18081, Small Tungsten Ore
gregtech:gt.blockores:19081, Small Tungsten Ore
gregtech:gt.blockores:20081, Small Tungsten Ore
gregtech:gt.blockores:21081, Small Tungsten Ore
gregtech:gt.blockores:22081, Small Tungsten Ore
gregtech:gt.blockores:83, Osmium Ore
gregtech:gt.blockores:1083, Osmium Ore
gregtech:gt.blockores:2083, Osmium Ore
gregtech:gt.blockores:3083, Osmium Ore
gregtech:gt.blockores:4083, Osmium Ore
gregtech:gt.blockores:5083, Osmium Ore
gregtech:gt.blockores:6083, Osmium Ore
gregtech:gt.blockores:16083, Small Osmium Ore
gregtech:gt.blockores:17083, Small Osmium Ore
gregtech:gt.blockores:18083, Small Osmium Ore
gregtech:gt.blockores:19083, Small Osmium Ore
gregtech:gt.blockores:20083, Small Osmium Ore
gregtech:gt.blockores:21083, Small Osmium Ore
gregtech:gt.blockores:22083, Small Osmium Ore
gregtech:gt.blockores:84, Iridium Ore
gregtech:gt.blockores:1084, Iridium Ore
gregtech:gt.blockores:2084, Iridium Ore
gregtech:gt.blockores:3084, Iridium Ore
gregtech:gt.blockores:4084, Iridium Ore
gregtech:gt.blockores:5084, Iridium Ore
gregtech:gt.blockores:6084, Iridium Ore
gregtech:gt.blockores:16084, Small Iridium Ore
gregtech:gt.blockores:17084, Small Iridium Ore
gregtech:gt.blockores:18084, Small Iridium Ore
gregtech:gt.blockores:19084, Small Iridium Ore
gregtech:gt.blockores:20084, Small Iridium Ore
gregtech:gt.blockores:21084, Small Iridium Ore
gregtech:gt.blockores:22084, Small Iridium Ore
gregtech:gt.blockores:85, Platinum Ore
gregtech:gt.blockores:1085, Platinum Ore
gregtech:gt.blockores:2085, Platinum Ore
gregtech:gt.blockores:3085, Platinum Ore
gregtech:gt.blockores:4085, Platinum Ore
gregtech:gt.blockores:5085, Platinum Ore
gregtech:gt.blockores:6085, Platinum Ore
gregtech:gt.blockores:16085, Small Platinum Ore
gregtech:gt.blockores:17085, Small Platinum Ore
gregtech:gt.blockores:18085, Small Platinum Ore
gregtech:gt.blockores:19085, Small Platinum Ore
gregtech:gt.blockores:20085, Small Platinum Ore
gregtech:gt.blockores:21085, Small Platinum Ore
gregtech:gt.blockores:22085, Small Platinum Ore
gregtech:gt.blockores:86, Gold Ore
gregtech:gt.blockores:1086, Gold Ore
gregtech:gt.blockores:2086, Gold Ore
gregtech:gt.blockores:3086, Gold Ore
gregtech:gt.blockores:4086, Gold Ore
gregtech:gt.blockores:5086, Gold Ore
gregtech:gt.blockores:6086, Gold Ore
gregtech:gt.blockores:16086, Small Gold Ore
gregtech:gt.blockores:17086, Small Gold Ore
gregtech:gt.blockores:18086, Small Gold Ore
gregtech:gt.blockores:19086, Small Gold Ore
gregtech:gt.blockores:20086, Small Gold Ore
gregtech:gt.blockores:21086, Small Gold Ore
gregtech:gt.blockores:22086, Small Gold Ore
gregtech:gt.blockores:89, Lead Ore
gregtech:gt.blockores:1089, Lead Ore
gregtech:gt.blockores:2089, Lead Ore
gregtech:gt.blockores:3089, Lead Ore
gregtech:gt.blockores:4089, Lead Ore
gregtech:gt.blockores:5089, Lead Ore
gregtech:gt.blockores:6089, Lead Ore
gregtech:gt.blockores:16089, Small Lead Ore
gregtech:gt.blockores:17089, Small Lead Ore
gregtech:gt.blockores:18089, Small Lead Ore
gregtech:gt.blockores:19089, Small Lead Ore
gregtech:gt.blockores:20089, Small Lead Ore
gregtech:gt.blockores:21089, Small Lead Ore
gregtech:gt.blockores:22089, Small Lead Ore
gregtech:gt.blockores:90, Bismuth Ore
gregtech:gt.blockores:1090, Bismuth Ore
gregtech:gt.blockores:2090, Bismuth Ore
gregtech:gt.blockores:3090, Bismuth Ore
gregtech:gt.blockores:4090, Bismuth Ore
gregtech:gt.blockores:5090, Bismuth Ore
gregtech:gt.blockores:6090, Bismuth Ore
gregtech:gt.blockores:16090, Small Bismuth Ore
gregtech:gt.blockores:17090, Small Bismuth Ore
gregtech:gt.blockores:18090, Small Bismuth Ore
gregtech:gt.blockores:19090, Small Bismuth Ore
gregtech:gt.blockores:20090, Small Bismuth Ore
gregtech:gt.blockores:21090, Small Bismuth Ore
gregtech:gt.blockores:22090, Small Bismuth Ore
gregtech:gt.blockores:96, Thorium Ore
gregtech:gt.blockores:1096, Thorium Ore
gregtech:gt.blockores:2096, Thorium Ore
gregtech:gt.blockores:3096, Thorium Ore
gregtech:gt.blockores:4096, Thorium Ore
gregtech:gt.blockores:5096, Thorium Ore
gregtech:gt.blockores:6096, Thorium Ore
gregtech:gt.blockores:16096, Small Thorium Ore
gregtech:gt.blockores:17096, Small Thorium Ore
gregtech:gt.blockores:18096, Small Thorium Ore
gregtech:gt.blockores:19096, Small Thorium Ore
gregtech:gt.blockores:20096, Small Thorium Ore
gregtech:gt.blockores:21096, Small Thorium Ore
gregtech:gt.blockores:22096, Small Thorium Ore
gregtech:gt.blockores:97, Uranium 235 Ore
gregtech:gt.blockores:1097, Uranium 235 Ore
gregtech:gt.blockores:2097, Uranium 235 Ore
gregtech:gt.blockores:3097, Uranium 235 Ore
gregtech:gt.blockores:4097, Uranium 235 Ore
gregtech:gt.blockores:5097, Uranium 235 Ore
gregtech:gt.blockores:6097, Uranium 235 Ore
gregtech:gt.blockores:16097, Small Uranium 235 Ore
gregtech:gt.blockores:17097, Small Uranium 235 Ore
gregtech:gt.blockores:18097, Small Uranium 235 Ore
gregtech:gt.blockores:19097, Small Uranium 235 Ore
gregtech:gt.blockores:20097, Small Uranium 235 Ore
gregtech:gt.blockores:21097, Small Uranium 235 Ore
gregtech:gt.blockores:22097, Small Uranium 235 Ore
gregtech:gt.blockores:98, Uranium 238 Ore
gregtech:gt.blockores:1098, Uranium 238 Ore
gregtech:gt.blockores:2098, Uranium 238 Ore
gregtech:gt.blockores:3098, Uranium 238 Ore
gregtech:gt.blockores:4098, Uranium 238 Ore
gregtech:gt.blockores:5098, Uranium 238 Ore
gregtech:gt.blockores:6098, Uranium 238 Ore
gregtech:gt.blockores:16098, Small Uranium 238 Ore
gregtech:gt.blockores:17098, Small Uranium 238 Ore
gregtech:gt.blockores:18098, Small Uranium 238 Ore
gregtech:gt.blockores:19098, Small Uranium 238 Ore
gregtech:gt.blockores:20098, Small Uranium 238 Ore
gregtech:gt.blockores:21098, Small Uranium 238 Ore
gregtech:gt.blockores:22098, Small Uranium 238 Ore
gregtech:gt.blockores:100, Plutonium 239 Ore
gregtech:gt.blockores:1100, Plutonium 239 Ore
gregtech:gt.blockores:2100, Plutonium 239 Ore
gregtech:gt.blockores:3100, Plutonium 239 Ore
gregtech:gt.blockores:4100, Plutonium 239 Ore
gregtech:gt.blockores:5100, Plutonium 239 Ore
gregtech:gt.blockores:6100, Plutonium 239 Ore
gregtech:gt.blockores:16100, Small Plutonium 239 Ore
gregtech:gt.blockores:17100, Small Plutonium 239 Ore
gregtech:gt.blockores:18100, Small Plutonium 239 Ore
gregtech:gt.blockores:19100, Small Plutonium 239 Ore
gregtech:gt.blockores:20100, Small Plutonium 239 Ore
gregtech:gt.blockores:21100, Small Plutonium 239 Ore
gregtech:gt.blockores:22100, Small Plutonium 239 Ore
gregtech:gt.blockores:101, Plutonium 241 Ore
gregtech:gt.blockores:1101, Plutonium 241 Ore
gregtech:gt.blockores:2101, Plutonium 241 Ore
gregtech:gt.blockores:3101, Plutonium 241 Ore
gregtech:gt.blockores:4101, Plutonium 241 Ore
gregtech:gt.blockores:5101, Plutonium 241 Ore
gregtech:gt.blockores:6101, Plutonium 241 Ore
gregtech:gt.blockores:16101, Small Plutonium 241 Ore
gregtech:gt.blockores:17101, Small Plutonium 241 Ore
gregtech:gt.blockores:18101, Small Plutonium 241 Ore
gregtech:gt.blockores:19101, Small Plutonium 241 Ore
gregtech:gt.blockores:20101, Small Plutonium 241 Ore
gregtech:gt.blockores:21101, Small Plutonium 241 Ore
gregtech:gt.blockores:22101, Small Plutonium 241 Ore
gregtech:gt.blockores:103, Americium Ore
gregtech:gt.blockores:1103, Americium Ore
gregtech:gt.blockores:2103, Americium Ore
gregtech:gt.blockores:3103, Americium Ore
gregtech:gt.blockores:4103, Americium Ore
gregtech:gt.blockores:5103, Americium Ore
gregtech:gt.blockores:6103, Americium Ore
gregtech:gt.blockores:16103, Small Americium Ore
gregtech:gt.blockores:17103, Small Americium Ore
gregtech:gt.blockores:18103, Small Americium Ore
gregtech:gt.blockores:19103, Small Americium Ore
gregtech:gt.blockores:20103, Small Americium Ore
gregtech:gt.blockores:21103, Small Americium Ore
gregtech:gt.blockores:22103, Small Americium Ore
gregtech:gt.blockores:110, Raw Tengam Ore
gregtech:gt.blockores:1110, Raw Tengam Ore
gregtech:gt.blockores:2110, Raw Tengam Ore
gregtech:gt.blockores:3110, Raw Tengam Ore
gregtech:gt.blockores:4110, Raw Tengam Ore
gregtech:gt.blockores:5110, Raw Tengam Ore
gregtech:gt.blockores:6110, Raw Tengam Ore
gregtech:gt.blockores:16110, Small Raw Tengam Ore
gregtech:gt.blockores:17110, Small Raw Tengam Ore
gregtech:gt.blockores:18110, Small Raw Tengam Ore
gregtech:gt.blockores:19110, Small Raw Tengam Ore
gregtech:gt.blockores:20110, Small Raw Tengam Ore
gregtech:gt.blockores:21110, Small Raw Tengam Ore
gregtech:gt.blockores:22110, Small Raw Tengam Ore
gregtech:gt.blockores:129, Neutronium Ore
gregtech:gt.blockores:1129, Neutronium Ore
gregtech:gt.blockores:2129, Neutronium Ore
gregtech:gt.blockores:3129, Neutronium Ore
gregtech:gt.blockores:4129, Neutronium Ore
gregtech:gt.blockores:5129, Neutronium Ore
gregtech:gt.blockores:6129, Neutronium Ore
gregtech:gt.blockores:16129, Small Neutronium Ore
gregtech:gt.blockores:17129, Small Neutronium Ore
gregtech:gt.blockores:18129, Small Neutronium Ore
gregtech:gt.blockores:19129, Small Neutronium Ore
gregtech:gt.blockores:20129, Small Neutronium Ore
gregtech:gt.blockores:21129, Small Neutronium Ore
gregtech:gt.blockores:22129, Small Neutronium Ore
gregtech:gt.blockores:303, Electrum Ore
gregtech:gt.blockores:1303, Electrum Ore
gregtech:gt.blockores:2303, Electrum Ore
gregtech:gt.blockores:3303, Electrum Ore
gregtech:gt.blockores:4303, Electrum Ore
gregtech:gt.blockores:5303, Electrum Ore
gregtech:gt.blockores:6303, Electrum Ore
gregtech:gt.blockores:16303, Small Electrum Ore
gregtech:gt.blockores:17303, Small Electrum Ore
gregtech:gt.blockores:18303, Small Electrum Ore
gregtech:gt.blockores:19303, Small Electrum Ore
gregtech:gt.blockores:20303, Small Electrum Ore
gregtech:gt.blockores:21303, Small Electrum Ore
gregtech:gt.blockores:22303, Small Electrum Ore
gregtech:gt.blockores:307, Pig Iron Ore
gregtech:gt.blockores:1307, Pig Iron Ore
gregtech:gt.blockores:2307, Pig Iron Ore
gregtech:gt.blockores:3307, Pig Iron Ore
gregtech:gt.blockores:4307, Pig Iron Ore
gregtech:gt.blockores:5307, Pig Iron Ore
gregtech:gt.blockores:6307, Pig Iron Ore
gregtech:gt.blockores:16307, Small Pig Iron Ore
gregtech:gt.blockores:17307, Small Pig Iron Ore
gregtech:gt.blockores:18307, Small Pig Iron Ore
gregtech:gt.blockores:19307, Small Pig Iron Ore
gregtech:gt.blockores:20307, Small Pig Iron Ore
gregtech:gt.blockores:21307, Small Pig Iron Ore
gregtech:gt.blockores:22307, Small Pig Iron Ore
gregtech:gt.blockores:319, Adamantium Ore
gregtech:gt.blockores:1319, Adamantium Ore
gregtech:gt.blockores:2319, Adamantium Ore
gregtech:gt.blockores:3319, Adamantium Ore
gregtech:gt.blockores:4319, Adamantium Ore
gregtech:gt.blockores:5319, Adamantium Ore
gregtech:gt.blockores:6319, Adamantium Ore
gregtech:gt.blockores:16319, Small Adamantium Ore
gregtech:gt.blockores:17319, Small Adamantium Ore
gregtech:gt.blockores:18319, Small Adamantium Ore
gregtech:gt.blockores:19319, Small Adamantium Ore
gregtech:gt.blockores:20319, Small Adamantium Ore
gregtech:gt.blockores:21319, Small Adamantium Ore
gregtech:gt.blockores:22319, Small Adamantium Ore
gregtech:gt.blockores:320, Fluxed Electrum Ore
gregtech:gt.blockores:1320, Fluxed Electrum Ore
gregtech:gt.blockores:2320, Fluxed Electrum Ore
gregtech:gt.blockores:3320, Fluxed Electrum Ore
gregtech:gt.blockores:4320, Fluxed Electrum Ore
gregtech:gt.blockores:5320, Fluxed Electrum Ore
gregtech:gt.blockores:6320, Fluxed Electrum Ore
gregtech:gt.blockores:16320, Small Fluxed Electrum Ore
gregtech:gt.blockores:17320, Small Fluxed Electrum Ore
gregtech:gt.blockores:18320, Small Fluxed Electrum Ore
gregtech:gt.blockores:19320, Small Fluxed Electrum Ore
gregtech:gt.blockores:20320, Small Fluxed Electrum Ore
gregtech:gt.blockores:21320, Small Fluxed Electrum Ore
gregtech:gt.blockores:22320, Small Fluxed Electrum Ore
gregtech:gt.blockores:323, Infused Gold Ore
gregtech:gt.blockores:1323, Infused Gold Ore
gregtech:gt.blockores:2323, Infused Gold Ore
gregtech:gt.blockores:3323, Infused Gold Ore
gregtech:gt.blockores:4323, Infused Gold Ore
gregtech:gt.blockores:5323, Infused Gold Ore
gregtech:gt.blockores:6323, Infused Gold Ore
gregtech:gt.blockores:16323, Small Infused Gold Ore
gregtech:gt.blockores:17323, Small Infused Gold Ore
gregtech:gt.blockores:18323, Small Infused Gold Ore
gregtech:gt.blockores:19323, Small Infused Gold Ore
gregtech:gt.blockores:20323, Small Infused Gold Ore
gregtech:gt.blockores:21323, Small Infused Gold Ore
gregtech:gt.blockores:22323, Small Infused Gold Ore
gregtech:gt.blockores:324, Naquadah Ore
gregtech:gt.blockores:1324, Naquadah Ore
gregtech:gt.blockores:2324, Naquadah Ore
gregtech:gt.blockores:3324, Naquadah Ore
gregtech:gt.blockores:4324, Naquadah Ore
gregtech:gt.blockores:5324, Naquadah Ore
gregtech:gt.blockores:6324, Naquadah Ore
gregtech:gt.blockores:16324, Small Naquadah Ore
gregtech:gt.blockores:17324, Small Naquadah Ore
gregtech:gt.blockores:18324, Small Naquadah Ore
gregtech:gt.blockores:19324, Small Naquadah Ore
gregtech:gt.blockores:20324, Small Naquadah Ore
gregtech:gt.blockores:21324, Small Naquadah Ore
gregtech:gt.blockores:22324, Small Naquadah Ore
gregtech:gt.blockores:326, Enriched Naquadah Ore
gregtech:gt.blockores:1326, Enriched Naquadah Ore
gregtech:gt.blockores:2326, Enriched Naquadah Ore
gregtech:gt.blockores:3326, Enriched Naquadah Ore
gregtech:gt.blockores:4326, Enriched Naquadah Ore
gregtech:gt.blockores:5326, Enriched Naquadah Ore
gregtech:gt.blockores:6326, Enriched Naquadah Ore
gregtech:gt.blockores:16326, Small Enriched Naquadah Ore
gregtech:gt.blockores:17326, Small Enriched Naquadah Ore
gregtech:gt.blockores:18326, Small Enriched Naquadah Ore
gregtech:gt.blockores:19326, Small Enriched Naquadah Ore
gregtech:gt.blockores:20326, Small Enriched Naquadah Ore
gregtech:gt.blockores:21326, Small Enriched Naquadah Ore
gregtech:gt.blockores:22326, Small Enriched Naquadah Ore
gregtech:gt.blockores:327, Naquadria Ore
gregtech:gt.blockores:1327, Naquadria Ore
gregtech:gt.blockores:2327, Naquadria Ore
gregtech:gt.blockores:3327, Naquadria Ore
gregtech:gt.blockores:4327, Naquadria Ore
gregtech:gt.blockores:5327, Naquadria Ore
gregtech:gt.blockores:6327, Naquadria Ore
gregtech:gt.blockores:16327, Small Naquadria Ore
gregtech:gt.blockores:17327, Small Naquadria Ore
gregtech:gt.blockores:18327, Small Naquadria Ore
gregtech:gt.blockores:19327, Small Naquadria Ore
gregtech:gt.blockores:20327, Small Naquadria Ore
gregtech:gt.blockores:21327, Small Naquadria Ore
gregtech:gt.blockores:22327, Small Naquadria Ore
gregtech:gt.blockores:329, Tritanium Ore
gregtech:gt.blockores:1329, Tritanium Ore
gregtech:gt.blockores:2329, Tritanium Ore
gregtech:gt.blockores:3329, Tritanium Ore
gregtech:gt.blockores:4329, Tritanium Ore
gregtech:gt.blockores:5329, Tritanium Ore
gregtech:gt.blockores:6329, Tritanium Ore
gregtech:gt.blockores:16329, Small Tritanium Ore
gregtech:gt.blockores:17329, Small Tritanium Ore
gregtech:gt.blockores:18329, Small Tritanium Ore
gregtech:gt.blockores:19329, Small Tritanium Ore
gregtech:gt.blockores:20329, Small Tritanium Ore
gregtech:gt.blockores:21329, Small Tritanium Ore
gregtech:gt.blockores:22329, Small Tritanium Ore
gregtech:gt.blockores:331, Mithril Ore
gregtech:gt.blockores:1331, Mithril Ore
gregtech:gt.blockores:2331, Mithril Ore
gregtech:gt.blockores:3331, Mithril Ore
gregtech:gt.blockores:4331, Mithril Ore
gregtech:gt.blockores:5331, Mithril Ore
gregtech:gt.blockores:6331, Mithril Ore
gregtech:gt.blockores:16331, Small Mithril Ore
gregtech:gt.blockores:17331, Small Mithril Ore
gregtech:gt.blockores:18331, Small Mithril Ore
gregtech:gt.blockores:19331, Small Mithril Ore
gregtech:gt.blockores:20331, Small Mithril Ore
gregtech:gt.blockores:21331, Small Mithril Ore
gregtech:gt.blockores:22331, Small Mithril Ore
gregtech:gt.blockores:336, Shadow Iron Ore
gregtech:gt.blockores:1336, Shadow Iron Ore
gregtech:gt.blockores:2336, Shadow Iron Ore
gregtech:gt.blockores:3336, Shadow Iron Ore
gregtech:gt.blockores:4336, Shadow Iron Ore
gregtech:gt.blockores:5336, Shadow Iron Ore
gregtech:gt.blockores:6336, Shadow Iron Ore
gregtech:gt.blockores:16336, Small Shadow Iron Ore
gregtech:gt.blockores:17336, Small Shadow Iron Ore
gregtech:gt.blockores:18336, Small Shadow Iron Ore
gregtech:gt.blockores:19336, Small Shadow Iron Ore
gregtech:gt.blockores:20336, Small Shadow Iron Ore
gregtech:gt.blockores:21336, Small Shadow Iron Ore
gregtech:gt.blockores:22336, Small Shadow Iron Ore
gregtech:gt.blockores:340, Meteoric Iron Ore
gregtech:gt.blockores:1340, Meteoric Iron Ore
gregtech:gt.blockores:2340, Meteoric Iron Ore
gregtech:gt.blockores:3340, Meteoric Iron Ore
gregtech:gt.blockores:4340, Meteoric Iron Ore
gregtech:gt.blockores:5340, Meteoric Iron Ore
gregtech:gt.blockores:6340, Meteoric Iron Ore
gregtech:gt.blockores:16340, Small Meteoric Iron Ore
gregtech:gt.blockores:17340, Small Meteoric Iron Ore
gregtech:gt.blockores:18340, Small Meteoric Iron Ore
gregtech:gt.blockores:19340, Small Meteoric Iron Ore
gregtech:gt.blockores:20340, Small Meteoric Iron Ore
gregtech:gt.blockores:21340, Small Meteoric Iron Ore
gregtech:gt.blockores:22340, Small Meteoric Iron Ore
gregtech:gt.blockores:342, Deep Dark Iron Ore
gregtech:gt.blockores:1342, Deep Dark Iron Ore
gregtech:gt.blockores:2342, Deep Dark Iron Ore
gregtech:gt.blockores:3342, Deep Dark Iron Ore
gregtech:gt.blockores:4342, Deep Dark Iron Ore
gregtech:gt.blockores:5342, Deep Dark Iron Ore
gregtech:gt.blockores:6342, Deep Dark Iron Ore
gregtech:gt.blockores:16342, Small Deep Dark Iron Ore
gregtech:gt.blockores:17342, Small Deep Dark Iron Ore
gregtech:gt.blockores:18342, Small Deep Dark Iron Ore
gregtech:gt.blockores:19342, Small Deep Dark Iron Ore
gregtech:gt.blockores:20342, Small Deep Dark Iron Ore
gregtech:gt.blockores:21342, Small Deep Dark Iron Ore
gregtech:gt.blockores:22342, Small Deep Dark Iron Ore
gregtech:gt.blockores:347, Firestone Ore
gregtech:gt.blockores:1347, Firestone Ore
gregtech:gt.blockores:2347, Firestone Ore
gregtech:gt.blockores:3347, Firestone Ore
gregtech:gt.blockores:4347, Firestone Ore
gregtech:gt.blockores:5347, Firestone Ore
gregtech:gt.blockores:6347, Firestone Ore
gregtech:gt.blockores:16347, Small Firestone Ore
gregtech:gt.blockores:17347, Small Firestone Ore
gregtech:gt.blockores:18347, Small Firestone Ore
